人员,店铺名称,地址,店铺类型,VISIT DATE 最近3次日期,店铺数量（连锁店标注店铺数量，单店填1）,"评级/Ranking（S,A+,A,B)s>60pcs/daily,A+>40pcs daily,A>30pcs/dailyB<30PCS/DAILY",老板/采购/Decision maker,电话/Phone,卖进情况（已卖进/待跟进/拒绝/寄售）,合作意愿（愿意拿货-极高，有兴趣进一步了解/愿意放试抽盒-高，只要样机-中，没兴趣-低）,店铺基础信息,是否留样机,是否放试抽盒,主要拿货二级/Main distros to Purchase,"POP UP Situation 
1、flow of people
2、How many people buy vapes
3、How many people buy VOZOL products（带日期，保留最近两次记录）",,,,,,,,,,,,,,,,,,,,,,
初朋,BubbasSmoke Shop,"131 W Linebaugh Ave, Tampa, FL 33612",smoke shop,2026/8/18,2,A,,,待跟进,中,店员在店里联系了老板，老板表示需要试抽盒，可以放在两个店面，有试抽盒后可以随时过去，然后老板会后续跟进,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,Goat Smoke Shop,"11502 N Nebraska Ave #109, Tampa, FL 33612",smoke shop,2026/8/18,30,,Mike,,待跟进,中,"说是有30家店，是否是同一个名字，在同一州需要再次确认，明确表示需要样机或者试抽盒，让顾客去尝试，如果客人觉得可以，他们愿意合作，没有i问题，在没有样机试抽盒的情况下很难继续跟进
8/24这家店今天二访，主要是放试抽盒给客人尝试下，共有30家店在全美，目前这个月销售比较冷淡，店里比较多的品是Raz geek bar 销量不详，大概一周后看下反馈，后续继续跟进",否,试抽盒,无固定,,,,,,,,,,,,,,,,,,,,,,,
初朋,Smoke VIP Area,"11900 N Nebraska Ave #6, Tampa, FL 33612",smoke shop,2026/8/18,4,,,,待跟进,中,老板出去拿货，明天5店之前在店里，明天继续跟进,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,Sam‘s Smoke shop,"1214 E Fowler Ave, Tampa, FL 33612",smoke shop,2026/8/18,7,S,Badran,813-971-7316,待跟进,中,有7家店，都是不同名字，老板几乎从不在店里，店员给了老板联系方式，可以联系老板，生意最好的一家店在Apollo Beach 日均销售100+,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,Green House Smoke shop,"1817 E Fowler Ave, Tampa, FL 33612",smoke shop,2026/8/18,3,,,813-558-8512,待跟进,中,店面经理在店，这是连锁店，需要样机或者试抽盒，不能直接送去店里，需要邮寄，他们check后会分放在所有门店，这家店在大学附近，日均不低于100+(PO BOX 573 Odessa FL 33556),否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,Smoke Mountain ,"7227 E M.L.K. Jr Blvd, Tampa, FL 33619",smoke shop,2026/8/19,1,,Martin,,待跟进,中,老板听说过我们的品牌，希望可以放样机或者试抽盒，让客人尝试，老板周一到周五都在，可以随时跟进,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,King Smoke&Vape,"11200 E Dr Martin Luther King Jr Blvd #103, Seffner, FL 33584",smoke shop,2026/8/19,5,,Yaya,(904) 916-3373,待跟进,高,老板了解了我们的产品，对价格表示满意，他们也在找新的产品，同时需要样机给客人尝试，可以重点跟进,否,试抽盒,florida smoke ,,,,,,,,,,,,,,,,,,,,,,,
初朋, Lizard Smoke Shop,"11511 E Dr Martin Luther King Jr Blvd, Seffner, FL 33584",smoke shop,2026/8/19,3,,,,待跟进,中,有3家店，不同的店名，需要试抽盒让客人尝试，而且他们也很愿意去给客人推荐，目前店里主推Raz Fog,否,否,Tampa地区所有的warehouse,,,,,,,,,,,,,,,,,,,,,,,
初朋,Cloud House Smoke Shop,"1214 W Dr Martin Luther King Jr Blvd, Seffner, FL 33584",smoke shop,2026/8/19,4,,Arb,,待跟进,中,老板不在，店员表示这家店面比较小，日均销售30支，推荐去另外一家大店，可以放试抽盒让客人体验,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,Kings stop and save smoke shop and grocery,"1424 S Kingsway Rd, Seffner, FL 33584",smoke shop,2026/8/19,1,,Mike,,待跟进,中,老板不在，店员记下了产品的详细信息、口味、也尝试了我们的产品，表示很好，把产品也拍照表示会跟老板沟通，这个老板有1家smke shop和几家加油站，可以重点跟进,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,Kingsway Smoke Shop,"1301 Kingsway Rd, Brandon, FL 33510",smoke shop,2026/8/19,1,,Nick,,待跟进,中,与店经理沟通了，详细的介绍了产品与价格，表示认可，表示只需要样机，可以让客人体验，并留下了我的联系方式,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,Tropical Vape & Smoke Shop,"1217 Kingsway Rd, Brandon, FL 33510",smoke shop,2026/8/19,3,,Tiger,,待跟进,中,与店经理沟通了，详细的介绍了产品与价格，表示认可，很喜欢我们的设计，也尝试了我们的产品表示很惊喜，店里销量最好的是Raz 50K/29.99 35K/24.99 表示最近Beri也有人问,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,RD 60 Smoke and Vape,"815 E Brandon Blvd, Brandon, FL 33511",smoke shop,2026/8/19,1,,Alex,,待跟进,中,老板不在，店员表示生意不错，但是不方便提供具体信息，目前热销的Raz Geek Bar Raz目前在搞活动50K/2 for 45 可以放试抽盒，店员表示很多客人尝试试抽盒,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,The Good Life Smoke Shop,"2108 W Brandon Blvd, Brandon, FL 33511",smoke shop,2026/8/19,4,,Alec,,待跟进,中,老板不在，店经理周五会在，日均销售不低于30支，,否,否,7 stars florida smoke ,,,,,,,,,,,,,,,,,,,,,,,
初朋,Big John's Vapes,"1919 W Brandon Blvd, Brandon, FL 33511",smoke shop,2026/8/19,1,,John,,待跟进,中,跟老板详细的介绍一下产品，表示希望可以留样机，要自己亲自尝下下，然后过后一周就可以决定，店里目前热销的还是Raz 35k 50k 也在尝试卖新产品100k,否,试抽盒,,,,,,,,,,,,,,,,,,,,,,,,
初朋,Puffology Smokeshop,"705 W Lumsden Rd, Brandon, FL 33511",smoke shop,2026/8/19,1,,Mike,,待跟进,中,老板出去拿货了，不确定具体时间，目前店里热销是Foger Raz 的Pod System kit/34 pod/22-24,否,否,无固定,,,,,,,,,,,,,,,,,,,,,,,
初朋,Hazy Days Smoke Shop,"220 W Brandon Blvd #101, Brandon, FL 33511",smoke shop,2026/8/19,1,,,,待跟进,中,老板不在，店经理在但是店经理不负责采购，详细介绍了产品及价格，表示希望有样机可以推给老板，可以后续更好跟进，目前店家销售最好Raz all in one Foger pod system pod/19.99 kit/24.99,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,Twist Smoke Kratom Kava THC Vapes,"1260 E Brandon Blvd, Brandon, FL 33511",smoke shop,2026/8/19,2,,Keitra,,待跟进,中,与店经理详细介绍了产品及价格，经理更关心的是性价比，目前店里主要2个品牌 Raz 和 Beri 销量最好的是Beri pod/13 kit/20 经理给了邮箱，希望我们能把更详细的产品信息给他们,否,否,Leaf,,,,,,,,,,,,,,,,,,,,,,,
初朋,"VAPE CAFE - Smoke Shop, Dispensary (Kratom and Coffee Bar)","2525 FL-60, Valrico, FL 33594",smoke shop,2026/8/19,1,,Faisal,,待跟进,中,老板不在周五上午会在，店里主营vapes和咖啡，比较新颖，产品Raz Beri Lost Marry 热销Lost Marry pod system pod/20 kit/30,否,否,Sunshine florida smoke,,,,,,,,,,,,,,,,,,,,,,,
初朋,The Vape Arcade,"3110 FL-60, Valrico, FL 33594",smoke shop,2026/8/19,1,,Josh,,待跟进,中,店经理需要试抽盒可以让客人去尝试，目前店里 Raz Beri Lost Marry 热销Raz 50K/28,否,否,Southern,,,,,,,,,,,,,,,,,,,,,,,
初朋,"Smoke Shop, Kratom Bar & THC and CBD Dispensary Vibez Vapor 5","3341 Lithia Pinecrest Rd, Valrico, FL 33596",smoke shop,2026/8/19,9,,Saint,,待跟进,中,老板不在店里，可以放试抽盒或者样机，目前店里热销Raz Geek Bar Beri 卖的好的Beri system pod/23 kit/35,否,否,florida smoke,,,,,,,,,,,,,,,,,,,,,,,
初朋,Village Market Smoke Shop,"30024 County Line Rd, Wesley Chapel, FL 33543",smoke shop,2026/8/20,1,,Khaled,(813) 841-2949,寄售,中,老板表示想要寄售，可以拿10-15种口味，因为是新产品，店里目前主要是Raz和很小一部分lost mary，店里现在的JNR 100K 全是寄售,否,否,7 Stars southern ,,,,,,,,,,,,,,,,,,,,,,,
初朋,vapor & pipes smoke shop,"20309 Bruce B Downs Blvd, Tampa, FL 33647",smoke shop,2026/8/20,4,,Jay,,待跟进,高,跟店里详细介绍了产品，表示认可，对我们的设计满意，店里品牌很多，销量最好的还是Raz和lost mary，经理表示他们也在考虑更换些品牌，放了试抽盒在柜台，下午florida smoke的销售会到店里，经理表示会跟那边的销售再沟通一下，店里生意不错，沟通过程中有4名客人进店消费,否,试抽盒,florida smoke,,,,,,,,,,,,,,,,,,,,,,,
初朋,Bull Smoke shop and Kava Bar,"10857 Cross Creek Blvd Unit 10857, Tampa, FL 33647",smoke shop,2026/8/20,4,,Rola,,待跟进,高,详细的介绍了产品，主动要了试抽品，并尝试了产品，对口味和价格满意，也表示有很多客人询问些价格优惠的产品，店里品牌多，主要热销lost mary 35K/24.99 Raz 50K/29.99 日均销量40支,否,试抽盒,无固定,,,,,,,,,,,,,,,,,,,,,,,
初朋,Exotic smoke shop,"26306 Wesley Chapel Blvd, Lutz, FL 33559",smoke shop,2026/8/20,1,,Jordan,,待跟进,中,老板经理都不在，下周会过来，店里生意很好，在和店员沟通中有超过20个客人进店消费，热销产品Raz 货架上Raz品牌几乎卖空了,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,Insane Vape & Smoke Shop #3,"5863 Goldview Pkwy Unit 105, Wesley Chapel, FL 33544",smoke shop,2026/8/20,16,,,,待跟进,中,老板经理都不在，店员表示生意可以，具体销量从来没算过，店里主打Raz 但是价位偏高，Raz 50K/33 Raz 35K/30,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,EZ Smoke Shop,"30118 CR 54, Wesley Chapel, FL 33543",smoke shop,2026/8/20,1,,Akrmen,,待跟进,中,老板不在，明天上午可能会在，目前店里Raz和Geek Bar比较好卖，日均25-30左右，,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,DD's Smoke & Vape,"34234 CR 54, Zephyrhills, FL 33543",smoke shop,2026/8/20,1,,DD,,待跟进,中,老板在接重要的电话，留下我的联系方式，店员反馈店里生意不错，只要还是Raz，具体销量店员也不知道，可以跟进,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,Z Smokeshop,"35231 CR 54, Zephyrhills, FL 33541",smoke shop,2026/8/20,1,,Reid,(813) 395-8748,待跟进,高,经理Reid 详细的了解了产品，放了试抽盒，三种口味经理都尝试了，表示不错，过几天可以后续跟进看下客人反馈，Geek Bar在店里做活动，2/25,否,试抽盒,,,,,,,,,,,,,,,,,,,,,,,,
初朋,Stupid Cheap Smoke Shop,"4346 Gall Blvd, Zephyrhills, FL 33542",smoke shop,2026/8/20,3,,Raz,(813) 352-7735,待跟进,极高,经理Raz 详细的了解了产品及价格，对我们的价格非常满意，留了试抽盒，经理尝试了三种口味，都很喜欢，他们主要在florida smoke 拿货，表示我可以送货他们很满意，互留了联系方式，这个重点跟进,否,试抽盒,florida smoke ,,,,,,,,,,,,,,,,,,,,,,,
初朋,Town Vape Smoke Shop,"4135 Gall Blvd, Zephyrhills, FL 33542",smoke shop,2026/8/20,2,,Taty,(502) 319-7507,待跟进,极高,经理Taty 详细的了解了产品及价格，对我们的价格非常满意，留了试抽盒，经理尝试了所有的口味，都很喜欢，包括ArizonaAP反应很好，他们也在florida smoke 拿货，表示我可以送货他们很满意，互留了联系方式，重点跟进，他们日均50-60,否,试抽盒,florida smoke ,,,,,,,,,,,,,,,,,,,,,,,
初朋,Gators Smoke Shop,"10907 US-92 Ste E, Seffner, FL 33584",smoke shop,2026/8/21,4,,Jennifer,,拒绝,低,一共4家店，不同的名字，都是一个老板，是家族企业，这家店目前没有意愿去做新产品，目前店里品牌 raz lostmary beri 卖的最好的是beri pod system 日均40-50支,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,Galaxy Smoke shop,"9702 E M.L.K. Jr Blvd, Tampa, FL 33610",smoke/gas,2026/8/21,1,,Sao,,待跟进,中,这家是烟店加油站一起，老板有很多话店，但是具体数字店员不知道，目前店里销量店员不知道具体数字，表示生意不错，目测JNR100K 卖的不错，柜台上很多空盒子 售价29.99,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,Smokey Jones,"4035 W Hillsborough Ave, Tampa, FL 33614",smoke shop,2026/8/21,2,,,,待跟进,中,老板不在店里，店员表示生意不错，主要品牌还是Raz 各个系列都不错，具体数量没有详细计算过，在交流期间有5名客人进店消费，店员给了邮箱，让给老板发邮件，说老板回复很快,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,El Oso smoke shop,"3611 W Hillsborough Ave, Tampa, FL 33614",smoke shop,2026/8/21,3,,Soni,,待跟进,中,老板不在店里，店员英文不好，生意不错，交流期间有3个客人，一个客人买了Raz一个客人买了Geek Bar，店里品牌很多，具体销量不清楚,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,Snax Smoke Shop • THC Dispensary,"N Himes Ave, Tampa, FL 33614",smoke shop,2026/8/21,4,,Jimmy,(813) 731-0681,寄售,高,跟老板介绍了产品，留下了试抽盒，表示希望可以寄售，可以选10个口味，可以放在4个店里，希望能有更好的价格，可以后续跟进,否,试抽盒,Atlas,,,,,,,,,,,,,,,,,,,,,,,
初朋,SMOKE SHOP & VAPE MASTER,"7015 N Himes Ave, Tampa, FL 33614",smoke shop,2026/8/21,2,,Sam,,待跟进,中,老板不在，在筹备新店，新店马上就开了，周一会在，目前店里热销款Forge Raz 都是pod system，lost mary buy 2 get 1 free 具体销量不详,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,Naga smoke shop,"7540 N Dale Mabry Hwy, Tampa, FL 33614",smoke shop,2026/8/21,1,,Kim,813-609-4539,待跟进,高,老板详细的了解了产品，目前店里还有在销售我们之前的产品，表示刚开始销量很好，目前你怎么乐观，目前店里热销beri pod system 只要是价格便宜，表示我们的产品价格有优势可以考虑,否,试抽盒,Florida smoke 7 Stars,,,,,,,,,,,,,,,,,,,,,,,
初朋,SMOKE SHOP FACTORY,"8316 N Dale Mabry Hwy, Tampa, FL 33614",smoke shop,2026/8/21,2,,,,待跟进,高,老板不在，留下了试抽盒，店员表示口感很好，会和老板沟通，目前店里品种多，热销Raz，具体销量不详,否,试抽盒,,,,,,,,,,,,,,,,,,,,,,,,
初朋,PUFFZ Smoke Shop Tampa,"4023 W Waters Ave Unit 14, Tampa, FL 33614",smoke shop,2026/8/21,1,,Alexis,,待跟进,中,老板不在，负责采购的下周一在，可以跟进，目前店里销量最好的是Raz 35K 50K 具体销量不知道,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,The Perfect Place - Vibez Smoke Shop,"7531 N Armenia Ave, Tampa, FL 33604",smoke shop,2026/8/21,9,,Sam,vibezsmoke@gmail.com,待跟进,高,和其中一个合伙人沟通过，介绍了产品，放了试抽盒，让我这边给另外一个合伙人email更多的相关信息，可以继续跟进,否,试抽盒,,,,,,,,,,,,,,,,,,,,,,,,
初朋,Vape City,"9017 E Adamo Dr Ste 110, Tampa, FL 33619",smoke shop,2026/8/24,2,,,,待跟进,中,8/24老板在度假，下周四回来，目前店里热销Raz 50k pod system kit/27.99 pod/21.95 店里几乎全是Raz 很小一部分 lost mary beri ,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,Bay's Smoke Shop & Metro Market #3,"1880 E Palm Ave, Tampa, FL 33605",smoke shop,2026/8/24,2,,Armri（经理）,,待跟进,高,8/24老板不在，和店经理详细介绍了产品及价格，表示不错，留了试抽盒，希望我们可以把产品多放几家warehouse，7stars只是他们拿货的一家，另外一家去的比较多，名字没记住，等产品到仓了后会回访，目前店里热销还是Raz 50k pod system 26.99,否,试抽盒,7 Stars,,,,,,,,,,,,,,,,,,,,,,,
初朋,Fly Smoke Shop Channelside,"1239 E Kennedy Blvd, Tampa, FL 33602",smoke shop,2026/8/24,4,,,,待跟进,中,8/24老板不在，和店员聊了一下，店里生意不错，地理位置好，具体销量不详，主要是beri pod system 和Raz 想要些产品海报，我答应过两天送过来，进行二次回访,否,否,Florida smoke house ,,,,,,,,,,,,,,,,,,,,,,,
初朋,Green Planet Smoke Shop Downtown Tampa,"206 E Cass St, Tampa, FL 33602",smoke shop,2026/8/24,4,A,,,待跟进,中,8/24老板不在，4家店随机在，店里以raz lost mary geek bar 为主，卖的好的geek bar 日均30-40支，geek bar 35K/24.99 50K/29.99,否,否,Florida smoke house,,,,,,,,,,,,,,,,,,,,,,,
初朋,BOB Smoke Shop,"1118 W Kennedy Blvd, Tampa, FL 33606",smoke shop,2026/8/24,4,S,Jordan,216-854-2888,待跟进,高,8/24老板不在，但是和老板视频通话了，会约时间再见面，老板想跳过二级商直接在我们这拿货，所以价格方面需要谈，老板主要想试下mint和peach，跟店员了解店里生意不错，日均50-60支，目前3家店在营业还有1家店在筹备,否,否,Florida smoke house  7stars,,,,,,,,,,,,,,,,,,,,,,,
初朋,Vapor & Pipes Smoke Shop,Vapor & Pipes Smoke Shop,smoke shop,2026/8/24,4,A+,Dalia,vaperorangepower@gmail.com,待跟进,高,8/24这是另外一个地址的店，和经理详细的介绍了产品及价格，表示满意，放了试抽盒，经理尝试了所有口味表示很喜欢，她会推荐给客人尝试，一周后看下回馈，目前日均销售50+ 他们所有的店经理就有采购权，重点跟进,否,试抽盒,Florida smoke house  ,,,,,,,,,,,,,,,,,,,,,,,
初朋,Nova Smoke Shop,"2913 W Cypress St, Tampa, FL 33609",smoke shop,2026/8/24,1,A+,Leo,813-409-0092,待跟进,中,8/24老板刚买这家店4个月，目前生意一般，预计下个月会变好，也在考虑放新产品，目前问题是他需要我们的货到warehouse后可以在店放，老板不希望客人尝试后想购买但是没有产品，会流失客人，店里目前自己在做活动Raz pod 2/35 老板也表示Florida smoke house的销售都认识他，可以重点跟进,否,否,Florida smoke house  ,,,,,,,,,,,,,,,,,,,,,,,
初朋,Habibi smoke shop,"3117 W Columbus Dr #206, Tampa, FL 33607",smoke shop,2026/8/24,2,,,,待跟进,中,8/24老板不在店里，下周会回来，店员新人，具体销量不知道，目前店里热销是Raz,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,West Tampa Smoke Shop,"2925 W Columbus Dr, Tampa, FL 33607",smoke shop,2026/8/24,3,,Arsh,,待跟进,高,8/24放了试抽盒，老板也尝试了口味，表示我们的油还是差了一点和raz相比，但是表示会让客人尝试，不知道客人到底喜欢什么样的，这间店目前主卖raz lost mary geek bar 具体销量不详,否,试抽盒,无固定,,,,,,,,,,,,,,,,,,,,,,,
初朋,Heights Smoke Shop,"723 W Columbus Dr, Tampa, FL 33602",smoke shop,2026/8/24,1,,Sam,,待跟进,中,8/24和经理沟通过，介绍了产品价格，他们主要在7 stars拿货，有家人在那边工作，他们要等我们的货到仓后相要些样机给客人，这边不喜欢给客人试抽盒，我们这边也可以和7stars的人沟通下，可以重点跟进，沟通中有客人进店消费，购入forge pod,否,否,7 Stars,,,,,,,,,,,,,,,,,,,,,,,
初朋,RZ SMOKE SHOP & VAPES,"1260 E Hillsborough Ave, Tampa, FL 33604",smoke shop,2026/8/24,16,A,Liz（经理）,(656) 264-4808,待跟进,高,8/24和经理沟通过，介绍了产品价格，留了试抽盒，给客人尝试下，这家店是刚开5天，平均每天有50名客人左右，具体销量没算过，各个品牌都有人买，因为离大学近,否,试抽盒,7 stars Atlas pavone,,,,,,,,,,,,,,,,,,,,,,,
初朋,Heights Corner Store & Smoke Shop,"5201 N Nebraska Ave, Tampa, FL 33603",smoke shop,2026/8/24,1,A+,Ahmed,(813) 379-5478,待跟进,高,8/24跟老板沟通了下产品及价格，表示不错，留了试抽盒让客人尝试，看客人反馈，跟我说货到仓了后就过来看下具体情况，店里销量不错，老板说日均40-50，主要是raz geekbar 可以重点跟进,否,试抽盒,7 stars pavone Florida smoke,,,,,,,,,,,,,,,,,,,,,,,
初朋,Smokey Os Smoke Shop,"8439 N Florida Ave, Tampa, FL 33604",smoke/gas,2026/8/24,3,A,Sammy,,寄售,中,8/24跟经理沟通了下产品及价格，表示不错，但是他们希望我们可以寄售，目前店里 beri JNR Feen 都是寄售，这家店目前销量日均30支左右,否,否,无固定 pavone居多,,,,,,,,,,,,,,,,,,,,,,,
初朋,Prestige Smoke Shop,"1904 W M.L.K. Jr Blvd, Tampa, FL 33607",smoke shop,2026/8/24,3,A,Wasim,(813) 481-2596,寄售,高,8/24跟老板沟通了产品，留了试抽盒，老板表示口味不错，而且店里也有在卖我们的旧产品，老板表示第一批货想做寄售，想看下情况然后第二批开始可以正式，如果可以的话可以拿10个口味，然后好的话会介绍我们给他的家人都是做这个行业的，这个可以重点跟进,否,试抽盒,无固定,,,,,,,,,,,,,,,,,,,,,,,
初朋,WWW Smoke Shop,"13916 N Florida Ave, Tampa, FL 33613",smoke shop,2026/8/25,1,,,,待跟进,中,8/25老板不在店里，可能下周会在，一周就来1-2次，店员就负责需要什么口味告知老板，店里主要是Raz 具体销量店员不方便透露,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,Vapor Rising,"12943 N Florida Ave, Tampa, FL 33612",smoke shop,2026/8/25,1,S,Joe,(813) 833-9600,待跟进,极高,8/25这家店生意很好，老板表示一天能有200人，在和老板沟通的时间售出30+ 老板主打价格 Raz 25K/15 MB 60K/17 留了试抽盒，有两只老板送给两个老客人拿走了，客人表示很喜欢，另外的客人也尝试了我们的产品表示下次老店会购买，这个会重点跟进,否,试抽盒,7 stars Southern,,,,,,,,,,,,,,,,,,,,,,,
初朋,Fumoo @ East Fletcher Smoke shop,"1345 E Fletcher Ave, Tampa, FL 33612",smoke shop,2026/8/25,2,A+,Brandon（店员）,,待跟进,高,8/25老板不在店，随机来，跟店员介绍了产品，留了试抽盒，店员尝试了产品表示满意，对价格也满意，店员说每天可以卖60+ 现在店里主要是Raz 留了联系方式给老板，可以继续跟进,否,试抽盒,,,,,,,,,,,,,,,,,,,,,,,,
初朋,Puff&Stuff Smoke House,"1414 E Fletcher Ave, Tampa, FL 33612",smoke shop,2026/8/25,1,A+,Omar,(786) 702-9402,待跟进,高,8/25跟老板介绍了产品，留了试抽盒，老板对产品表示满意，也尝试了我们的口味，对产品设计很满意，老板表示月销量有1万支左右，会重点跟进,否,试抽盒,7stars Southern,,,,,,,,,,,,,,,,,,,,,,,
初朋,Infiniti smoke shop,"1509 E Fletcher Ave #108, Tampa, FL 33612",smoke/gas,2026/8/25,2,S,Nathan,,待跟进,中,8/25跟老板介绍了产品，表示不错，会去warehouse进一步看下产品，老板想要产品到仓后同步上试抽盒，日均销量70支，会重点跟进,否,否,7stars Florida smoke house,,,,,,,,,,,,,,,,,,,,,,,
初朋,ART OF SMOKE (Vapors & Smoke Shop),"2814 E Bearss Ave, Tampa, FL 33613",smoke shop,2026/8/25,2,,,,待跟进,中,8/25老板不在，随机来，店员表示店里生意还可以，等大学生回来后会更好点，日均销售从来没算过，给了名片让邮件给老板,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,AREA 51 SMOKE SHOP USF,"2367 E Fowler Ave, Tampa, FL 33612",smoke shop,2026/8/25,5,B,Lisa（店员）,,待跟进,中,8/25老板不在，下周一就在店里，做这家店的库存，目前店里卖的好的是Raz Beri pod system 店员和老板都比较喜欢beri的口味，表示下周老板在可以放试抽盒体验下，目前店里日均30支左右,否,否,,,,,,,,,,,,,,,,,,,,,,,,
初朋,Sky Haze Smoke Shop,"11126 N 30th St, Tampa, FL 33612",smoke shop,2026/8/25,1,,Manty,,待跟进,高,8/25跟老板详细介绍了产品，对价格表示满意，放了试抽盒，老板也尝试了产品，表示认可，目前店里热销就是Raz，周围大学生多，具体销量没算过，表示等货到仓后再看一下，可以继续跟进,否,试抽盒,7 stars Florida Smoke House,,,,,,,,,,,,,,,,,,,,,,,
