人员,店铺名称,地址,店铺类型,VISIT DATE 最近3次日期,店铺数量（连锁店标注店铺数量，单店填1）,"评级/Ranking（S,A+,A,B)s>60pcs/daily,A+>40pcs daily,A>30pcs/dailyB<30PCS/DAILY",老板/采购/Decision maker,电话/Phone,卖进情况（已卖进/待跟进/拒绝/寄售）,合作意愿（愿意拿货-极高，有兴趣进一步了解/愿意放试抽盒-高，只要样机-中，没兴趣-低）,"拜访日志（带日期）
动态更新（最近两次）",是否留样机,是否放试抽盒,主要拿货二级/Main distros to Purchase,"POP UP Situation 
1、flow of people
2、How many people buy vapes
3、How many people buy VOZOL products（带日期，保留最近两次记录）",,,,,,,,,,,,,,,,,,,,,,
,"3. E Z Liquor Beer, Wine & Spirits","4101 FL-46, Sanford, FL 32771",smoke shop,8.2,1,A,"Akashi deputy manager 负责vape进货
main manager负责酒类产品的进货",,待跟进,,"电话：
店面：很大
进货：elite orlando,
备注：每天20支的销量，烟摆放在角落里。这家店酒的生意很好，",,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,4.Twisted Smoke Shop - Sanford,"1125 Rinehart Rd, Sanford, FL 32771",smoke shop,8.2,1,A,不详,,待跟进,,"老板：像是中东人，不是很配合，不愿意透露细节，
电话：
店面：很大
备注：日销量应该在40支以上，想要看样品，让客户试抽。",,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,5.Vapor and company,10063 e. Colonial dr. Orlando FL 32817,smoke shop,8.2,4,B,Andy male，有四家店,,待跟进,,"店员Brady
www.vaporandco.com
3621 S Orlando Dr, Sanford, FL 32773
进货： sunshine orlando
产品：数量 店员不肯透露，品牌很多，主要品牌都有陈列柜，产品  Raze，Lost Mary",,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,6.Smoke world,"3661 S Orlando Dr, Sanford, FL 32773",smoke shop,8.2,,B,"Monty, 印度 （好像是西班牙裔） 有六家店",,待跟进,,"电话：
进货：Sunshine， elite,
备注：一天4500美金的营业额, 觉得Raze价格贵，根据很有兴趣，想要样品，几种口味各要一个。积极配合投放样品",,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,7. HYWAZE Smoke Shop,"140 W Lake Mary Blvd, Sanford, FL 32773",smoke shop,8.2,30+,A+,多个老板，名字不详,,待跟进,,"有30+的连锁店
店员：Danylie
老板：
电话：
备注：店里打算换一些品牌的产品，正在打折处理raze，店里的生意看上去还不错，有好几个顾客",,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,8.sanford express 加油站,"348 W Lake Mary Blvd, Sanford, FL 32773",GAS station,8.2,1,B,,,待跟进,,价格比烟店便宜不少，没有多谈,,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,9.red eye smokeshop,"3836 S Orlando Dr, Sanford, FL 32773",smoke shop,8.2,1,A,Manager travis female,,待跟进,,"有四家店
老板：Manager travis female，经理四家店跑，今天没碰到
店员：Treay male
电话：
备注：日销量超过60，",,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,10. Blaze house smoke shop,"601 Weldon Blvd #137, Lake Mary, FL 32746",smoke shop,8.2,1,A,"Mohammad, 有几家店",,待跟进,,"店员：Zee，巴基斯坦 店员非常好 很友善愿意配合
老板：Mohammad ，巴基斯坦人,有几家店
地址：207 fl 434 long wood, FL 32750
电话：
备注：日销量35-40支，应该可以配合投放样品",,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,1. LMAO SMOKE SHOP，有5家店,"1014 E Colonial Dr, Orlando, FL 32803",smoke shop,8.21,5家,A+,"不详
3310 Conway road, orlando FL 32812，店员让去这家店找经理",不详,待跟进,,备注：要找门店经理谈，人在另外一个门店，晚上7点以后可能会来。产品很齐全，零售价29在搞促销，买2送1，平均下来20一只。,,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,2.climax smoke shop 7家店,Lifted Smoke Shop Mills,smoke shop,8.21,7家,A+,Ezibala，manager and one of the owner,电话：407-271-435,待跟进,,"店员：Juan，委内瑞拉人 比较友好
备注：日销量40-50
Isabella 下周三可以去另外一家店找经理
6336 university bld, winter park FL
Wednesday  10Am-5PM",,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,3. HIGHER. Smoke Shop,"1650 E Colonial Dr, Orlando, FL 32803",smoke shop,8.21,1,B,经理：Joey,,待跟进,,经理：Joey 男 拉丁，产品不多，陈列一般，不打算进新品，说卖不动。,,,不详,,,,,,,,,,,,,,,,,,,,,,,
,4. Recharge Smoke Shop,"1813 E Colonial Dr, Orlando, FL 32803",smoke shop,8.21,1,A+,老板：Jony,不详,待跟进,,备注：店里的品牌很多，希望采购有名气的，客户喜欢的产品。根老板聊了20分钟，老板不想放陈列柜，感觉找他的人很多。,,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,5.pip dream,"1654 N Semoran Blvd #160, Orlando, FL 32807",smoke shop,8.21,3,B,不详,不详,待跟进,,备注：一天25支，raze 零售价30一只,,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,6.DTC smoke shop,"5815 E Colonial Dr, Orlando, FL 32807",smoke shop,8.21,1,A,Adit 印度人,407-601-6940,寄售,,备注： NIQ在店里寄卖，老板希望我们也可以寄卖，可以卖掉一半先回款。谁Raze可以 一天卖50支。,,,"sunshine，elite, ACE",,,,,,,,,,,,,,,,,,,,,,,
,7.exit 420,"7320 E Colonial Dr, Orlando, FL 32807",smoke shop,8.21,2,B,店员：Al 古巴人,407-250-6551,待跟进,,备注：可以摆放样品，愿意尝试先进点货，试卖。比如5个口味，每个一盒。新店，销量不稳定，平均销量30支每天,,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,8. Baccoh Smoke Shop,"7803 E Colonial Dr #104, Orlando, FL 32807",smoke shop,8.21,1,A,名字不详，女性老板,,待跟进,,"备注：老板是个女的，去进货了，人不在。拉丁裔,店面整洁 ，有生意，店员销量不愿意透露。",,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,9.smoke break shop，,"7501 E Colonial Dr, Orlando, FL 32807",smoke shop,8.21,6,B,"charlies,以前是警察局里的厨师",,待跟进,,"店员：Nick
备注： 日销售额500-1200美金，20支",,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,10. Discount Tobacco Outlet,"1668 N Goldenrod Rd, Orlando, FL 32807",smoke shop,8.21,1,B,,,待跟进,,备注：店开了16年，店员说生意还可以。不拒绝，留了我的联系方式和产品网站信息，不拒绝，但感觉兴趣不大。,,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,1.ELITE Vape & Smoke Shop - Downtown Orlando,"57 W Pine St, Orlando, FL 32801",smoke shop,"8.21
8.24",1,A+,不详，45岁的男性,"689-240-9243
https://elitevapeandsmoke.com/downtown-orlando/",待跟进,,日销量估计30只，经理或者owner不在，出去旅行了，上周五碰到的好像就是经理，那天对方很匆忙，没来得及多聊。,,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"2.
Lifted Smoke Shop Downtown","24 S Orange Ave, Orlando, FL 32801",smoke shop,"8.21
8.24",1,A+,"Manager Rey, 黑人",770-990-8594,待跟进,,"可以订货 但是有一定预算要求，预算要听老板的, 日销量 周一半天销量15只，放置了sample box, 经理口头同意 试着进几个口味试卖，通常是周一到sunshine 进货。经理觉得产品品质还不错。有兴趣进货试卖，通常是周一去进货，两周去一次",,是,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"3.
Pipe & Pouch Smoke Shop","59 N Orange Ave, Orlando, FL 32801",smoke shop,"8.21
8.24",1,A+,Manager quaseem,864-386-2979,待跟进,,"15 years in American, from Africa.每周都会去一次sunshine进货，日销40只，口头同意近一些货实卖。多产品的印象还不错。每周一会去进货",,是,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"4.
Smoker's Safari","124 Lake Ave, Maitland, FL 32751",smoke shop,8.24,1,S,Bcolon,,待跟进,,想要试抽，但暂时不会进货，因为门店是monster公司开的,,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"5.
Pipe Dreams Smoke Shop","9210 S US Hwy 17 92, Maitland, FL 32751",smoke shop,8.24,1,B,Anto female,,待跟进,,"经理： Anto female, 今天人不在，通常周一到周五都会在店里，日销20只。",,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"6.
Fumoo Smoke Shop","181 Oxford Rd Suit 109, Fern Park, FL 32730",smoke shop,8.24,1,B,Jay,,待跟进,,"备注： 日销20，经理不在，周二会在，有5个品牌再买， raze , geek bar,frogger, lost Mary 等",,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"7.
Smoke Tokyo","1520 S US Hwy 17 92, Longwood, FL 32750",smoke shop,8.24,1,B,"Jaff,luke",,待跟进,,"备注：日销10-20只，新店，刚接手3个月。生意不太好,刚刚转让来3个月",,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"8.
Holy Moly Smoke Shop","1239 S US Hwy 17 92, Longwood, FL 32750",smoke shop,8.24,,B,不详,,待跟进,,有两家店 还有一家在coco beach，有一些低价产品在售，15美金2只。4500 puff，所在区域对价格似乎比较敏感,,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"9.
BAY SMOKE SHOP 2","1750 Sunshadow Dr #110, Casselberry, FL 32707",smoke shop,8.24,1,A+,"Haitham Ali, 来自也门，有两家店
Manager: Sama，第一个月入职",,待跟进,,"owner负责进货：
Raze，Lost Mary卖的比较好，日销估计40-50。
店面布置很整齐,在windix 超市旁边
另外一家店地址：",,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,eastside smoke shop,"12950 E colonial dr Orlando ,FL 32826",smoke shop,,1,,"Haitham Ali, 来自也门，有两家店",,待跟进,,店铺摆设整齐，主要品牌都有卖,,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"11.
Red eye smoke shop","1037 W State Rd 434, Winter Springs, FL 32708",smoke shop,8.24,1,A+,店员：Samage,,待跟进,,有5家店。经理不在，经理负责采购，备注：日销量50只，但感觉生意没有这么好。,,,其他,,,,,,,,,,,,,,,,,,,,,,,
,"1.
Vapor and Company Altamonte Springs","100 E Altamonte Dr, Altamonte Springs, FL 32701",smoke shop,8.25,4,A+,manager：Larry,,待跟进,,"有自己的批发，主要都从自己的2p进货，很多主流品牌都有，主要销售voopoo, fogger,  raze，geek bar都在店里做广告，单是不能摆放实抽盒，可以放广告牌。还会做Flea  market。",,,vaper company,,,,,,,,,,,,,,,,,,,,,,,
,"2.
Green House Smoke Shop","105 E Altamonte Dr, Altamonte Springs, FL 32701",smoke shop,8.25,1,A+,"Manger: AG,
店员：Ali，中东人",,待跟进,,"Manger: AG,  Sunday afternoon will be 周日下午在店里。预计日销50，可以摆放陈列品，进货需要跟经理谈，主流品牌都有卖。",,是,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"3.
Area 51 Smoke Shop Altamonte Springs Florida","445 W State Rd 436 Ste 1017, Altamonte Springs, FL 32714",smoke shop,8.25,4,A,"Owner Tony
manager： moises",,待跟进,,"Owner Tony 有四家店
Outerlimitssalesllc@gmail.com
manager： moises, 有六年的smoke shop工作经验。经理点货，老板采购，以前在sunshine进货，最近从其他2P进货。",,是,,,,,,,,,,,,,,,,,,,,,,,,
,"4.
Smoke Bros","241 S Westmonte Dr #1000, Altamonte Springs, FL 32714",smoke shop,8.25,2,B,"Manager: Yoyo
Owner:syria",321-295-7913,待跟进,,"老板负责进货，经理负责点货。
备注：日销15只，留了一只样品。经理比较有兴趣，试抽了产品，反馈不错，说可以替换掉forger.",,是,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"5.
Palace Smoke & Vape","1185 Spring Centre S Blvd #1040, Altamonte Springs, FL 32714",smoke shop,8.25,1,B,manager： Sam,,待跟进,,"经理或者老板负责进货
备注：日销预计20 ，经理不肯说。有一种长盒子的vape, 有个白人女的在买，放了一只试用装。感觉经理兴趣不大。",,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"6.
PERSPECTIVE SMOKE SHOP","1155 W State Rd 434 #151, Longwood, FL 32750",smoke shop,8.25,1,A,"owner Nicky
店员 Soryiah",,待跟进,,"一家人开的店，周三晚上4-5点会在店里
备注：店员卖的不算差，具体数字不肯说。里面主流的牌子都有卖。",,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"7.
Sykrin Smokes shop","962 W State Rd 434, Longwood, FL 32750",smoke shop,8.25,1,B,owner Mohanmod 中东,,待跟进,,备注：日销30-40只，老板周四会在店里,,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"8.
Vip smoke Shop Longwood","268 W State Rd 434, Longwood, FL 32750",smoke shop,8.25,1,B,owner 不在,,待跟进,,日销15，owner 不在，店员说 电子烟最近卖的不是太好。老板晚上3-5点PM会在店里，明天周三会在店里。,,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"9.
BLUNTS-N-BODEGA Smoke Shop","3614 E Colonial Dr, Orlando, FL 32803",smoke shop,8.25,1,A+,,,待跟进,,"manager 周三晚上4点左右可能会来送货
备注：店面很大，各种品牌都有出售。",,,不确定,,,,,,,,,,,,,,,,,,,,,,,
,"10.
Taqueria Azteca Orlando 有两家店","9804 E Colonial Dr, Orlando, FL 32817",smoke shop,8.25,2,B,"店员：Cartu,",,待跟进,,"经理：经理负责进货，经理不在，
备注：店铺面积不大，但是主流产品都有售卖。",,,不确定,,,,,,,,,,,,,,,,,,,,,,,
,"11.
Thank You Come Again Smoke Shop","1451 N Dean Rd, Orlando, FL 32825",smoke shop+Gas station,8.25,1,,Owner: maullk 拉丁?,,待跟进,,备注：两年前有卖过两只。因为之前卖的不好，老板不太喜欢。,,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"12.
Vapor and Company - Orlando","10063 E Colonial Dr, Orlando, FL 32817",smoke shop,8.25,4,A+,"manager ： Christ
店员：Quinton",,待跟进,,"manager ： Christ 周一到周五 before 4PM
备注：非常多的品牌，几乎主流品牌都有，预计销量不错 A+，Foger, 99%是白人女性在买，社交媒体营销？voopoo 新款 金属外壳和金属POD， 30K puff,",,,自己有批发,,,,,,,,,,,,,,,,,,,,,,,
,"13.
RED DRAGON SMOKE SHOP EAST COLONIAL","10360 E Colonial Dr Ste 124, Orlando, FL 32817",smoke shop,8.25,6,A,店员：andrea,,待跟进,,"备注：半个小时内有两个客人，店买摆放整齐。
OPT owner 一般在
11757 s orange blossom tri, Orlando FL",,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"14.
Vapor Eyes Smoke & Vape","10520 E Colonial Dr, Orlando, FL 32817",gas station,8.25,1,B,,,,,备注： 加油站店 销量一般,,,,,,,,,,,,,,,,,,,,,,,,,,
,"15.
Exit 420 Smoke Shop #2","7320 E Colonial Dr, Orlando, FL 32807",smoke shop,8.21  8.25,2,B,Manager,,待跟进,,店里今天销量只有5只，但是老板很有兴趣，第二次拜访，所以放置了试抽盒,,是,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,1.Lmao,3310 Conway Rd,smoke shop,8.26,6,A,owner,,待跟进,,"Owner 自己有批发whole shales LLC
二级批发商：
Nepa, Orlando
Florida distributed in Tempa
Owner 自己有批发whole shales LLC
二级批发商：
Nepa, Orlando
Florida distributed in Tempa",,是,"Nepa, Orlando;
Florida distributed in Tempa",,,,,,,,,,,,,,,,,,,,,,,
,"2.
MAAN VAPE SHOP","4550 N Goldenrod Rd, Winter Park, FL 32792",smoke shop,8.26,1,B,owner,,待跟进,,备注：主要产品Raze，这有这个牌子卖的比较好，每天不到10只,,,Sunshine， ACE,,,,,,,,,,,,,,,,,,,,,,,
,"3.
iSMOKE Cigar Lounge & Vape Shop","2960 W State Rd 426 #1032, Oviedo, FL 32765",smoke shop,8.26,1,A,Ryan,,待跟进,,"Owner: Ryan，店员老板基本都不在店里，只能电子邮件联系,Ismokeoutlet@gmail.com
407-657-3552
备注：一家精品烟店，主要品牌monster， voopoo，voopoo有一个新款的金属造型的电子烟，价格90美元。",,,不清楚,,,,,,,,,,,,,,,,,,,,,,,
,"4.
HoneyNug Smoke Shop & Kava","1393 W Broadway St, Oviedo, FL 32765",smoke shop,8.26,6,B,Ravi,,待跟进,,"店员linn 407-576-0134,  备注：日销25-30只",,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"5
HoneyNug Smoke Sh","1313 W Broadway St, Oviedo, FL 32765",smoke shop,8.26,6,B,Ravi,,待跟进,,日销25-30只,,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"6.
HoneyNug Smoke","3050 alafaya trail,",smoke shop,8.26,6,A,"Ravi
店长 Madi",,待跟进,,"说Ravi有6家烟店，还有香水店。
给老板留了message， 店长说老板来了之后可以看到手机的message. 店里有很多品牌的电子烟，pod system 已经有7种了。店长说不打算再进新品，但是同意留了样品试抽盒。估计日销30-40只",,是,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"7.
Kenny's Liquors","950 N Central Ave #6, Oviedo, FL 32765",smoke shop,8.26,1,B,Owner: tifiny 家庭店,,待跟进,,半年左右的新店，,,是,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"8.
Winter springs smoke shop","158 Tuskawilla Rd Ste 1308, Winter Springs, FL 32708",smoke shop,8.26,1,B,"Manager: Aaron (407) 868-3165
有兴趣",,待跟进,,"备注： 经理的同事试用了产品，觉得口感不错，当即要求留下试用装，并打算先购买三盒，试卖。
Raze, pod 45/盒，pod system 55?",,是,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"9.
Jars Smoke Shop","148 W State Rd 434, Winter Springs, FL 32708",smoke shop,8.26,1,A,"Manager: Ash,owner 负责采购",,待跟进,,"Jars, 689-206-1862,备注：日销30左右，经理留了一只样品，经理觉得产品口味不错，说会跟老板反馈。",,是,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"10.
Paradise Exotic Smoke and Hemp Store","2575 S US Hwy 17 92, Casselberry, FL 32707",smoke shop,8.26,6,B,"老板 Monty
经理：miguel 加勒比海某个国家的",,待跟进,,"老板 Monty
经理：miguel , 店经理有兴趣，但是这家店有很多品牌的样品，估计有8家品牌，但我们产品的口感是有竞争力的。",,是,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"11.
Smoke Paradise","1548 Seminola Blvd, Casselberry, FL 32707",smoke shop,8.26,6,B,Monty,,待跟进,,备注： 店铺很小，4-5品牌在售 日销15只,,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"12.
Paradise Exotic Smoke and Hemp Store","525 S Ronald Reagan Blvd St 149, Longwood, FL 32750",smoke shop,8.26,6,B,Monty,,待跟进,,店铺面积不大，觉得口味还不错,,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"13.
Vapor and Company - Orlando","10063 E Colonial Dr, Orlando, FL 32817",smoke shop,8.25,4,A,"manager ： Christ
店员：Quinton
采购经理觉得是新品牌，没什么兴趣，也不愿意试抽",,拒绝,,"manager ： Christ 周一到周五 before 4PM
备注：非常多的品牌，几乎主流品牌都有，预计销量不错 A+，Foger, 99%是白人女性在买，社交媒体营销？voopoo 新款 金属外壳和金属POD， 30K puff,
Chris兴趣不大，而且态度很不好，不跟进了。",,,自己本身有批发，sunshine,,,,,,,,,,,,,,,,,,,,,,,
,1. Orlando Smokers Dreamz,"5815 E Colonial Dr, Orlando, FL 32807",smoke shop,"8.31,8.27",1,B,老板 Adit,,待跟进,,备注：第二次回访，上次放置了试抽盒，看了一下试抽盒不在店里，老板说试抽盒被黑人小哥偷走了。说有10几个人试抽，老板说反馈还可以。跟进争取让老板在到货后采购。,,是,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"2.
Good Timez Smoke Shop","7559 University Blvd, Winter Park, FL 32792",smoke shop,8.27,1,a,不详,,待跟进,,备注：日销预计30-40只？店里主要厂家的产品都有，经理人不在，早上生意还不错，20分钟有4个客户，但是买的不是电子烟，产品店员不愿意多聊，说要找经理。A,,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"3.
Wild Side Smoke Shop","4650 N Alafaya Trail #102, Orlando, FL 32826",smoke shop,8.27,6,s,"Manager: Trean ,提申请 然后公司采购经理审批，",,待跟进,,"备注： 在FL 有6-7家店，S级店，经理口头同意，先进一点试试。后续继续跟进。给Trean留了电话，拿了门店的卡片，但经理没有给个人的手机号。
在店里找了两个客人使用，均表示口感不错，其中有一位客人表示有兴趣更换我们的品牌。
重点关注，每周采购两次。",,是,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"4.
Up in Smoke","4498 N Alafaya Trail, Orlando, FL 32826",smoke shop,8.27,6,s,"店员：Warren  类似于经理
manage：Will，",,待跟进,,"manage：Will，一周来店里一次 时间不确定
备注：S级店，连锁有6家，在店里留了试抽盒，店员不吸烟，但是闻了一下，觉得还不错，留了联系方式。有机会跟进一下。
Warren答应向经理推荐一下产品，下次来一起要跟进一下推荐产品 如何反馈 这个点。
店里有一种地尼古丁的产品OLIT，0.35-0.6%， 看到有人在其他店买过。",,是,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"5.
Civil Vapes University","12086 Collegiate Way, Orlando, FL 32817",smoke shop,8.27,6,A+,"GM：Kyle Miyakusu;
manager：
civilvapesCB@gmail.com
Nick，自己也抽vape",,待跟进,,"店员：T  也抽vape.
备注：A+, 试抽了产品，觉得口感不错。但是进货是GM Kyle决定，GM四处跑店，不知道什么时候能碰到。不确定什么结果，下次继续跟进一下情况，留个一个样品。表面上看还是很热情的，也许只是客气。两个白人，感觉做事很有效率，不确定怎么样。",,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"6.
Lifted Smoke Shop UCF","11565 University Blvd #1, Orlando, FL 32817 B",smoke shop,8.27,5到6家,A,不详,,待跟进,,暂无,,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"7.
Vapor Krew Smoke Shop","1725 N Alafaya Trail, Orlando, FL 32826",smoke shop,8.27,2,A,"manager：Onix, 2 shop,owner 每周来一次，
vaporkrew@gmail.com",,待跟进,,"备注：30-40
lost Mary, Raze, OLIT hookali pro, cali
manager：Onix, 2 shop,owner 每周来一次，
vaporkrew@gmail.com A",,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
,"8.
Alafaya discount smokeshop","1725 N Alafaya Trail Ste 102B, Orlando, FL 32826",smoke shop,8.27,1,B,不详,,待跟进,,备注：店面比较小 新店， 预计10-20/天。主要是raze and geek bar 觉得没有品牌，老板不想用 B,,,sunshine,,,,,,,,,,,,,,,,,,,,,,,
